mp_id,formula,sites,composition,a_edge (angstrom),b_edge (angstrom),c_edge (angstrom),alpha_ang (deg),beta_ang (deg),gamma_ang (deg),crystal_system,space_group,total_magnetisation (bohr),energy_per_atom (eV/atom),formation_energy (eV/atom),energy_above_hull (eV/atom),stable,density (g/cc),band_gap (eV),direct_bandgap,volume (cubic-angstrom),bulk_modulus (GPa),shear_modulus (GPa)
mp-1517855,Ba2CeWO6,40,Ba2 Ce1 W1 O6,8.61403135,8.61403135,8.61403135,90.0,90.0,90.0,cubic,Pn-3,7.9999998,-8.2951389505,-3.0530593495,0.067048555442315,False,7.21819358590771,0.0,False,639.1743581730718,,
mp-1228386,Ba2CeZrO6,10,Ba2 Ce1 Zr1 O6,4.359189,6.1802165051604785,6.1802165051604785,90.0,90.0,90.0,tet,P4/mmm,0.0004494,-8.383761070999999,-3.582724429999999,0.031814292000003006,False,6.003791269421657,2.3379,True,166.49955537419177,,
mp-1228396,Ba2CeZrO6,10,Ba2 Ce1 Zr1 O6,4.349748,4.349748,8.800178,90.0,90.0,90.0,tet,P4/mmm,0.0001582,-8.381394318,-3.580357676999999,0.034181045000002006,False,6.003700406710402,2.5683,False,166.50207525359932,,
mp-1519247,Ba2CeZrO6,10,Ba2 Ce1 Zr1 O6,6.178167903678296,6.178167903678296,6.178167903678296,59.99999999999999,59.99999999999999,59.99999999999999,cubic,Fm-3m,0.0,-8.391131402000001,-3.590094761,0.024443961000001003,False,5.994797811836266,2.2933,False,166.7493397265994,,
mp-1519368,Ba2CeZrO6,40,Ba2 Ce1 Zr1 O6,8.71455965,8.71455965,8.71455965,90.0,90.0,90.0,cubic,Pn-3,3.7e-06,-8.39657936,-3.595542718999999,0.018996003000001,False,6.041743917985581,2.2585,False,661.8145955788561,,
mp-18967,Ba2CoMoO6,20,Ba2 Co1 Mo1 O6,5.802049716901261,5.805115460626171,10.057977788288609,73.23331918517144,90.02110812782587,119.96271516737762,cubic,Fm-3m,0.0109821,-7.613763792,-2.463285518,0.0,True,6.306065383062162,0.0,False,276.7660678753778,,
mp-561894,Ba2CoMoO6,20,Ba2 Co1 Mo1 O6,5.73464297956926,9.997354680303285,5.848629903680775,91.28313521068898,119.35313751665913,73.33532129947447,tet,I4/mmm,2.1e-06,-7.604548041000001,-2.454069767000001,0.009215750999985001,False,6.296939520696896,1.274,True,277.16717209981965,,
mp-545792,Ba2CoReO6,40,Ba2 Co1 Re1 O6,8.189724812965634,10.03299240441111,8.195271660736879,114.04858464474346,89.95111893498942,65.93674513482759,cubic,Fm-3m,1.9200000000000003e-05,-7.758577483250001,-2.4478527995,0.048703632250000004,False,7.435115007465415,0.19819999999999902,False,550.116219488547,,
mp-1228653,Ba2CoRuO6,30,Ba2 Co1 Ru1 O6,5.815299540462984,5.815299540462984,14.142047,90.0,90.0,119.99999477194179,trig,P3m1,15.6349386,-7.093158549666667,-2.099805032666666,0.019201509583339,False,6.382551866121929,0.0,False,414.1780797770336,,
mp-1274542,Ba2CoWO6,10,Ba2 Co1 W1 O6,5.7564605601186045,5.861298041461123,5.8617783395835605,87.94667655128318,60.598301045321676,119.39824689563078,tet,I4/mmm,3.0001636,-7.927125534000001,-2.565399248000001,0.010751375500013,False,7.287421359034614,1.8426999999999991,False,139.77699294262504,,
mp-22112,Ba2CoWO6,20,Ba2 Co1 W1 O6,5.8159023343248295,10.088484843699225,5.817863564901896,73.39857837282732,119.92004598625168,106.62868707698054,cubic,Fm-3m,6.000052,-7.9378769095,-2.5761506235000002,0.0,True,7.295238185384703,0.0,False,279.25444460810326,,
mp-1519532,Ba2CrBiO6,10,Ba2 Cr1 Bi1 O6,5.913624775289529,5.913624775289529,5.913624775289529,59.99999999999999,59.99999999999999,59.99999999999999,cubic,Fm-3m,2.9999998,-7.047183545999999,-2.340303777,0.089046483875008,False,7.17238211385707,0.039299999999999,True,146.23330524165553,,
mp-1519726,Ba2CrBiO6,40,Ba2 Cr1 Bi1 O6,8.40829932,8.40829932,8.40829932,90.0,90.0,90.0,cubic,Pn-3,10.1675265,-7.023341481499999,-2.316461712499999,0.112888548375008,False,7.057407851906753,0.0,False,594.4625363728004,,
mp-1079901,Ba2CrMoO6,20,Ba2 Cr1 Mo1 O6,5.810143686383237,8.005691004861854,5.810002974303628,90.00355658073192,89.99864024980218,90.0001005968862,cubic,Fm-3m,3e-07,-8.062648444999999,-2.660207095999999,0.0,True,6.372916817232361,0.0,False,270.2477271734844,,
mp-1521461,Ba2CrSnO6,10,Ba2 Cr1 Sn1 O6,5.798137960323664,5.798137960323664,5.798137960323664,59.99999999999999,59.99999999999999,59.99999999999999,cubic,Fm-3m,2.0000003,-7.222270675999999,-2.503437152499999,0.100447547312494,False,6.522015353672154,0.0,False,137.8321835292371,,
